Body,Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,03-Jun-15,17419342-11339280,-197460.82,Abbott Healthcare Ltd,Care Establishment,Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,03-Jun-15,17419343-11339281,-174268.99,Abbott Healthcare Ltd,Care Establishment,Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,18-Jun-15,17719890-11410071,-108171.47,T & B (Contractors) Limited,Company,Schools,The Roundhouse,Capital WIP - land and buildings  -  Construction cost
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,03-Jun-15,17419338-11317312,-69997.16,Citc Care Ltd (Home Choice),Care Establishment,Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,03-Jun-15,17419340-11317313,-64559.83,Citc Care Ltd (Home Choice),Care Establishment,Control Accounts,Uncleared bank items,Bank Overdraft Expenditure / Payments
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,23-Jun-15,17627625-11434073,-60000,Bottisham Village College,Education,LRNG,Intervention,Allocation of Sources of Funding
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,29-Jun-15,15469678-11473154,-39596.18,Bnp Paribas Real Estate,Trade Supplier,LGSS Managed,Babbage House,Buildings service charges
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,22-Jun-15,17797104-11430375,-12896.21,Pitney Bowes Management Services Ltd,Trade Supplier,LGSS,Processing Operations,Postage & Carriage
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-Jun-15,17491946-11398349,-11700,Civica Uk Ltd,Trade Supplier,LGSS,Norwich IT One-off recharges,Other Hired Contract Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-Jun-15,17623345-11398222,-11203.33,Voyage,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Supported Living
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,25-Jun-15,15539530-11458277,-6033.5,Nas Services Ltd,Charity,2 - Operations - Learning Disability,LDP City Team,SDS - Live Independently
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,05-Jun-15,17272814-11364153,-5089.46,Guidant Group,Trade Supplier,LRNG,SIS Staff,Pay - Agency Staff
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-Jun-15,17186596-11355424,-5081.14,Consensus,Care Establishment,S&C,Placements - Social Care,Agency Placements - Out County
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,23-Jun-15,17807474-11434207,-4189.42,Primrose Healthcare,Care Establishment,4 - Commissioning - Mental Health & Supporting People,Dom Blocks,Respite Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,03-Jun-15,17391032-11309861,-3471.13,By The Bridge Ltd,Care Establishment,S&C,Placements - Social Care,Agency Placements - Out County
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,22-Jun-15,17491349-11430299,-3390.4,Wisbech Grammar School,Education,SMI's,High-needs top-up - Other institutions,SEN Funding
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,29-Jun-15,18007103-11473493,-3333,The Mary Hare Primary School,Charity,S&C,Placements - Education,Independent School Placements
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,29-Jun-15,18007115-11473495,-3333,The Mary Hare Primary School,Charity,S&C,Placements - Education,Independent School Placements
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,17-Jun-15,17455889-11407216,-3171.42,Kemps Place,Care Establishment,4 - Commissioning - Mental Health & Supporting People,Hunts Mental Health Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,22-Jun-15,17803004-11430414,-3165.55,Guidant Group,Trade Supplier,4 - Operations - Providers services,"Larkfield, Ely",Pay - Agency Staff
