Body,Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,07-Jul-15,17186631-11527075,-85698.41,Cambridgeshire Learning And Community Partnerships,Trade Supplier,Schools,Thomas Clarkson BSF ICT ASC,Other Earmarked Reserves Recharged to revenue
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,24-Jul-15,18743413-11672279,-67000,Cambridgeshire Community Services Nhs Trust,Trust (Other),PH,Obesity Adults - Non Prescribed,Other Hired Contract Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-Jul-15,15131392-11715376,-38903,Cambridgeshire Community Services Nhs Trust,Trust (Other),S&C,Procurement - TA Therapy in Special Schools,Other Hired Contract Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,06-Jul-15,17039668-11519784,-34964.08,Imtech Traffic & Infra Uk Limited,Company,Traffic Management & Road Safety,Signals Capital,Capital WIP - roads  -  Construction cost
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,06-Jul-15,17004883-11519787,-29067.08,Imtech Traffic & Infra Uk Limited,Company,Traffic Management & Road Safety,Signals Capital,Capital WIP - roads  -  Construction cost
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-Jul-15,18388168-11572978,-15183,Huntingdonshire District Council,Other Public Bodies,LGSS Managed,St Neots Library,Business rates
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,13-Jul-15,18387350-11552790,-14834.4,Westminster Homecare Limited,Care Establishment,4 - Commissioning - Mental Health & Supporting People,OP Winter Pressure,Social Services Transport
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,30-Jul-15,18699908-11727608,-14277.12,Methodist Homes For The Aged (Mha),Care Establishment,4 - Commissioning - Mental Health & Supporting People,Dom Blocks,Respite Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,17-Jul-15,18151250-11590276,-12487.2,Carmelcrest Limited,Company,Schools,Bewick Bridge Community Primary School; Cambridge (2312),Capital WIP - land and buildings  -  Construction cost
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,09-Jul-15,6355837-11536816,-8479.03,St George'S Court,Care Establishment,1- Commissioning - Service Director,O P Block Grants/Care Placements,Respite Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,29-Jul-15,15530343-11722859,-8220.04,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,SDS - PB Travel
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,06-Jul-15,17807451-11519995,-7347.19,Park House School,Education,S&C,Placements - Education,Independent School Placements
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,10-Jul-15,18358084-11548147,-7044.5,Fencabs Ltd T/A Fencars,Trade Supplier,S&C,Home to School Transport - Special,Home to School - Secondary
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,08-Jul-15,18261788-11532812,-6016.8,Asbestos Abatement Services Ltd,Company,Schools,Wheatfields Primary School; St Ives; (3392),Capital WIP - land and buildings  -  Construction cost
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,01-Jul-15,18038407-11481995,-5649,Thera East Anglia,Trust (Other),2 - Operations - Learning Disability,LDP City Team,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,20-Jul-15,18464803-11596963,-5000,Cambridgeshire Learning And Community Partnerships,Trade Supplier,Control Accounts,VAT - Cambs CC,Debtors - Govt depts VAT input tax
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,17-Jul-15,18276582-11590092,-3900,C J Murfitt Ltd,Company,Schools,Cavalry Primary School; March ;(2206),Capital WIP - land and buildings  -  Construction cost
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,24-Jul-15,18205110-11706378,-3789.77,Guidant Group,Trade Supplier,CSC,CSC Business Support - BSAs,Pay - Agency Staff
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-Jul-15,18483761-11573048,-3600,Iken Business Ltd,Trade Supplier,LGSS,LGSS Property Trading Recharges,Other Hired Contract Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,01-Jul-15,18038404-11481994,-3389.4,Thera East Anglia,Trust (Other),2 - Operations - Learning Disability,LDP City Team,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,13-Jul-15,18388135-11552777,-3274.35,Mencap,Care Establishment,2 - Operations - Learning Disability,LDP City Team,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,20-Jul-15,18038485-11597264,-2797.27,Faithful And Gould,Trade Supplier,Schools,Brampton Primary,Capital WIP - land and buildings  -  Construction cost
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,16-Jul-15,18525332-11584523,-2325.96,Autism Plus,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,16-Jul-15,18525336-11584503,-2325.96,Autism Plus,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,SDS - Care and support Services
