Body,Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-Aug-15,19222896-11959816,-243536.21,Ameycespa Wm (East )Limited,Trade Supplier,Assets & Commissioning,Waste PFI,Disposal - Other Costs
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-Aug-15,19222895-11959815,-28789.84,Ameycespa Wm (East )Limited,Trade Supplier,Assets & Commissioning,Waste PFI,Disposal - Other Costs
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,03-Aug-15,18801565-11747641,-24702,Cambridge City Council,Other Public Bodies,LGSS Managed,Castle Court,Business rates
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,03-Aug-15,18802565-11747620,-24702,Cambridge City Council,Other Public Bodies,LGSS Managed,Castle Court,Business rates
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,03-Aug-15,18804565-11747622,-24552,Cambridge City Council,Other Public Bodies,LGSS Managed,Castle Court,Business rates
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,03-Aug-15,18807565-11747624,-24552,Cambridge City Council,Other Public Bodies,LGSS Managed,Castle Court,Business rates
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-Aug-15,17805149-11755734,-18623.45,Mouchel Parkman Services Limited,Trade Supplier,Schools,Barnabas Oley CofE Primary School; Sandy ;(3067),Capital WIP - land and buildings  -  Construction cost
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,07-Aug-15,19133577-11770880,-11203.56,Legal & General Property Industrial Property Investment Fund,Trade Supplier,S&C,Catering - Cook Freeze Unit (C3),Rents and Leases
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,10-Aug-15,19151415-11771978,-3583.66,Faithful And Gould,Trade Supplier,Schools,Cromwell Park Primary School; Huntingdon (2451),Capital WIP - land and buildings  -  Architects Fees
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,26-Aug-15,19137724-11944965,-3400,Barford Park Children'S Services,Care Establishment,S&C,Placements - Social Care,Agency Placements - Out County
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,26-Aug-15,19214747-11945525,-3098.68,Citysprint (Uk) Ltd,Trade Supplier,Corporate Services,Courier Service,Postage & Carriage
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,18-Aug-15,19155887-11796643,-2932.16,Thera East Anglia,Trust (Other),2 - Operations - Learning Disability,LDP South Cambs Team,SDS - Care and support Services
